skdm_sektoru,gtip_hs,aciklama,nace_rev2,not
cimento,2507 00 80,kalsine edilmiş kaolinli killer (diğer),08.12,taslak
cimento,2523 10 00,çimento klinkeri,23.51,taslak
cimento,2523 21 00,beyaz portland çimentosu,23.51,taslak
cimento,2523 29 00,diğer portland çimentosu,23.51,taslak
cimento,2523 30 00,alüminyumlu çimento,23.51,taslak
cimento,2523 90 00,diğer hidrolik çimentolar,23.51,taslak
elektrik,2716 00 00,elektrik enerjisi,35.11,taslak
gubre,2808 00 00,nitrik asit; sülfonitrik asitler,20.15,taslak
gubre,2814,amonyak,20.15,taslak
gubre,2834 21 00,potasyum nitrat,20.15,taslak
gubre,3102,azotlu mineral veya kimyasal gübreler,20.15,taslak
gubre,3105,diğer mineral/kimyasal gübreler (3105 60 00 hariç),20.15,taslak
demir-celik,2601 12 00,aglomere edilmiş demir cevherleri,07.10,taslak
demir-celik,72,demir ve çelik (fasıl; bazı alt pozisyonlar hariç),24.10,taslak
demir-celik,7301-7306,palplanşlar; demiryolu malzemesi; tüpler ve borular,24.10 / 24.20,taslak
demir-celik,7307-7311; 7318; 7326,bağlantı parçaları; yapılar; depolar; vida-cıvata; diğer demir-çelik eşya,25,taslak
aluminyum,7601,işlenmemiş alüminyum,24.42,taslak
aluminyum,7603-7609,alüminyum tozları; çubuk; profil; tel; levha; folyo; boru,24.42,taslak
aluminyum,7610-7616,alüminyum yapılar; depolar; kablolar; diğer eşya,25,taslak
hidrojen,2804 10 00,hidrojen,20.11,taslak
